Cue	NORMAL Breathing
15080468	3.388
15080471	3.390
15080474	3.391
15080477	3.393
15080480	3.394
15080483	3.395
15080486	3.396
15080489	3.398
15080491	3.400
15080494	3.401
15080497	3.404
15080500	3.406
15080503	3.408
15080506	3.410
15080509	3.412
15080512	3.415
15080514	3.417
15080517	3.419
15080520	3.422
15080523	3.424
15080526	3.426
15080529	3.429
15080532	3.431
15080535	3.433
15080538	3.436
15080540	3.438
15080543	3.441
15080546	3.444
15080549	3.447
15080552	3.449
15080555	3.452
15080558	3.454
15080561	3.457
15080563	3.459
15080566	3.461
15080569	3.463
15080572	3.465
15080575	3.466
15080578	3.468
15080581	3.469
15080584	3.471
15080586	3.472
15080589	3.474
15080592	3.476
15080595	3.477
15080598	3.479
15080601	3.481
15080604	3.483
15080607	3.484
15080610	3.485
15080612	3.487
15080615	3.488
15080618	3.489
15080621	3.490
15080624	3.491
15080627	3.492
15080630	3.493
15080633	3.494
15080635	3.495
15080638	3.496
15080641	3.497
15080644	3.498
15080647	3.499
15080650	3.500
15080653	3.501
15080656	3.502
15080658	3.503
15080661	3.504
15080664	3.505
15080667	3.506
15080670	3.507
15080673	3.508
15080676	3.509
15080679	3.510
15080681	3.511
15080684	3.512
15080687	3.513
15080690	3.514
15080693	3.515
15080696	3.515
15080699	3.516
15080702	3.517
15080705	3.518
15080707	3.519
15080710	3.520
15080713	3.521
15080716	3.521
15080719	3.523
15080722	3.523
15080725	3.524
15080728	3.525
15080730	3.525
15080733	3.525
15080736	3.526
15080739	3.526
15080742	3.527
15080745	3.527
15080748	3.528
15080751	3.528
15080754	3.528
15080756	3.528
15080759	3.528
15080762	3.528
15080765	3.528
15080768	3.528
15080771	3.527
15080774	3.526
15080777	3.526
15080779	3.525
15080782	3.523
15080785	3.523
15080788	3.522
15080791	3.521
15080794	3.520
15080797	3.519
15080800	3.517
15080802	3.516
15080805	3.515
15080808	3.513
15080811	3.512
15080814	3.510
15080817	3.509
15080820	3.507
15080823	3.506
15080826	3.504
15080828	3.502
15080831	3.500
15080834	3.498
15080837	3.496
15080840	3.493
15080843	3.489
15080846	3.485
15080849	3.481
15080851	3.476
15080854	3.470
15080857	3.464
15080860	3.458
15080863	3.452
15080866	3.446
15080869	3.440
15080872	3.435
15080874	3.431
15080877	3.427
15080880	3.424
15080883	3.423
15080886	3.422
15080889	3.422
15080892	3.423
15080895	3.424
15080898	3.426
15080900	3.428
15080903	3.430
15080906	3.433
15080909	3.435
15080912	3.437
15080915	3.439
15080918	3.442
15080921	3.444
15080923	3.446
15080926	3.448
15080929	3.449
15080932	3.451
15080935	3.453
15080938	3.455
15080941	3.457
15080944	3.460
15080946	3.462
15080949	3.463
15080952	3.466
15080955	3.468
15080958	3.470
15080961	3.472
15080964	3.475
15080967	3.477
15080969	3.479
15080972	3.480
15080975	3.482
15080978	3.484
15080981	3.486
15080984	3.488
15080987	3.489
15080990	3.491
15080992	3.492
15080995	3.494
15080998	3.495
15081001	3.497
15081004	3.499
15081007	3.500
15081010	3.501
15081013	3.503
15081016	3.504
15081018	3.505
15081021	3.507
15081024	3.508
15081027	3.509
15081030	3.510
15081033	3.511
15081036	3.512
15081039	3.513
15081042	3.514
15081044	3.515
15081047	3.516
15081050	3.517
15081053	3.518
15081056	3.520
15081059	3.521
